time,ch1_thermo
-0.0199347,0.62
-0.0199315,0.58
-0.0199283,0.58
-0.0199251,0.58
-0.0199219,0.62
-0.0199187,0.58
-0.0199155,0.58
-0.0199123,0.62
-0.0199091,0.58
-0.0199059,0.58
-0.0199027,0.58
-0.0198995,0.58
-0.0198963,0.58
-0.0198931,0.58
-0.0198899,0.58
-0.0198867,0.58
-0.0198835,0.58
-0.0198803,0.58
-0.0198771,0.58
-0.0198739,0.58
-0.0198707,0.58
-0.0198675,0.58
-0.0198643,0.58
-0.0198611,0.58
-0.0198579,0.58
-0.0198547,0.58
-0.0198515,0.58
-0.0198483,0.58
-0.0198451,0.58
-0.0198419,0.58
-0.0198387,0.58
-0.0198355,0.58
-0.0198323,0.58
-0.0198291,0.58
-0.0198259,0.58
-0.0198227,0.58
-0.0198195,0.58
-0.0198163,0.58
-0.0198131,0.58
-0.0198099,0.58
-0.0198067,0.58
-0.0198035,0.58
-0.0198003,0.54
-0.0197971,0.58
-0.0197939,0.58
-0.0197907,0.58
-0.0197875,0.58
-0.0197843,0.58
-0.0197811,0.58
-0.0197779,0.58
-0.0197747,0.58
-0.0197715,0.58
-0.0197683,0.58
-0.0197651,0.58
-0.0197619,0.58
-0.0197587,0.58
-0.0197555,0.58
-0.0197523,0.58
-0.0197491,0.58
-0.0197459,0.58
-0.0197427,0.58
-0.0197395,0.62
-0.0197363,0.58
-0.0197331,0.58
-0.0197299,0.58
-0.0197267,0.58
-0.0197235,0.58
-0.0197203,0.58
-0.0197171,0.58
-0.0197139,0.58
-0.0197107,0.58
-0.0197075,0.58
-0.0197043,0.62
-0.0197011,0.58
-0.0196979,0.62
-0.0196947,0.58
-0.0196915,0.58
-0.0196883,0.58
-0.0196851,0.58
-0.0196819,0.58
-0.0196787,0.58
-0.0196755,0.58
-0.0196723,0.58
-0.0196691,0.58
-0.0196659,0.58
-0.0196627,0.58
-0.0196595,0.58
-0.0196563,0.58
-0.0196531,0.58
-0.0196499,0.58
-0.0196467,0.58
-0.0196435,0.58
-0.0196403,0.58
-0.0196371,0.58
-0.0196339,0.62
-0.0196307,0.58
-0.0196275,0.58
-0.0196243,0.58
-0.0196211,0.58
-0.0196179,0.58
-0.0196147,0.58
-0.0196115,0.58
-0.0196083,0.58
-0.0196051,0.58
-0.0196019,0.58
-0.0195987,0.58
-0.0195955,0.58
-0.0195923,0.58
-0.0195891,0.58
-0.0195859,0.58
-0.0195827,0.58
-0.0195795,0.58
-0.0195763,0.58
-0.0195731,0.58
-0.0195699,0.58
-0.0195667,0.58
-0.0195635,0.62
-0.0195603,0.58
-0.0195571,0.58
-0.0195539,0.58
-0.0195507,0.58
-0.0195475,0.58
-0.0195443,0.58
-0.0195411,0.58
-0.0195379,0.58
-0.0195347,0.62
-0.0195315,0.58
-0.0195283,0.58
-0.0195251,0.58
-0.0195219,0.58
-0.0195187,0.58
-0.0195155,0.58
-0.0195123,0.58
-0.0195091,0.58
-0.0195059,0.58
-0.0195027,0.58
