time,ch3_clamp_diode
-0.0199347,5.96046e-10
-0.0199315,5.96046e-10
-0.0199283,5.96046e-10
-0.0199251,5.96046e-10
-0.0199219,5.96046e-10
-0.0199187,0.02
-0.0199155,5.96046e-10
-0.0199123,0.02
-0.0199091,0.02
-0.0199059,0.02
-0.0199027,0.02
-0.0198995,5.96046e-10
-0.0198963,5.96046e-10
-0.0198931,5.96046e-10
-0.0198899,0.02
-0.0198867,0.02
-0.0198835,0.02
-0.0198803,5.96046e-10
-0.0198771,0.02
-0.0198739,0.02
-0.0198707,5.96046e-10
-0.0198675,0.02
-0.0198643,0.02
-0.0198611,0.02
-0.0198579,0.02
-0.0198547,5.96046e-10
-0.0198515,0.02
-0.0198483,5.96046e-10
-0.0198451,0.02
-0.0198419,5.96046e-10
-0.0198387,0.02
-0.0198355,0.02
-0.0198323,5.96046e-10
-0.0198291,0.02
-0.0198259,5.96046e-10
-0.0198227,0.02
-0.0198195,5.96046e-10
-0.0198163,0.02
-0.0198131,5.96046e-10
-0.0198099,5.96046e-10
-0.0198067,0.02
-0.0198035,5.96046e-10
-0.0198003,5.96046e-10
-0.0197971,5.96046e-10
-0.0197939,0.02
-0.0197907,5.96046e-10
-0.0197875,5.96046e-10
-0.0197843,5.96046e-10
-0.0197811,5.96046e-10
-0.0197779,0.02
-0.0197747,0.02
-0.0197715,5.96046e-10
-0.0197683,0.02
-0.0197651,0.02
-0.0197619,0.02
-0.0197587,0.02
-0.0197555,5.96046e-10
-0.0197523,5.96046e-10
-0.0197491,0.02
-0.0197459,5.96046e-10
-0.0197427,0.02
-0.0197395,0.02
-0.0197363,5.96046e-10
-0.0197331,0.02
-0.0197299,5.96046e-10
-0.0197267,5.96046e-10
-0.0197235,0.02
-0.0197203,5.96046e-10
-0.0197171,0.02
-0.0197139,0.02
-0.0197107,5.96046e-10
-0.0197075,0.02
-0.0197043,0.02
-0.0197011,0.02
-0.0196979,5.96046e-10
-0.0196947,0.02
-0.0196915,0.02
-0.0196883,0.02
-0.0196851,5.96046e-10
-0.0196819,5.96046e-10
-0.0196787,5.96046e-10
-0.0196755,5.96046e-10
-0.0196723,0.02
-0.0196691,5.96046e-10
-0.0196659,5.96046e-10
-0.0196627,0.02
-0.0196595,0.02
-0.0196563,0.02
-0.0196531,0.02
-0.0196499,0.02
-0.0196467,0.02
-0.0196435,0.02
-0.0196403,0.02
-0.0196371,0.02
-0.0196339,5.96046e-10
-0.0196307,0.02
-0.0196275,0.02
-0.0196243,5.96046e-10
-0.0196211,0.02
-0.0196179,5.96046e-10
-0.0196147,0.02
-0.0196115,5.96046e-10
-0.0196083,0.02
-0.0196051,0.02
-0.0196019,5.96046e-10
-0.0195987,0.02
-0.0195955,0.02
-0.0195923,0.02
-0.0195891,5.96046e-10
-0.0195859,5.96046e-10
-0.0195827,0.02
-0.0195795,5.96046e-10
-0.0195763,5.96046e-10
-0.0195731,0.02
-0.0195699,0.02
-0.0195667,5.96046e-10
-0.0195635,0.02
-0.0195603,0.02
-0.0195571,0.02
-0.0195539,0.02
-0.0195507,5.96046e-10
-0.0195475,5.96046e-10
-0.0195443,0.02
-0.0195411,5.96046e-10
-0.0195379,0.02
-0.0195347,5.96046e-10
-0.0195315,5.96046e-10
-0.0195283,5.96046e-10
-0.0195251,0.04
-0.0195219,5.96046e-10
-0.0195187,5.96046e-10
-0.0195155,0.02
-0.0195123,0.02
-0.0195091,5.96046e-10
-0.0195059,0.02
-0.0195027,0.02
-0.0194995,5.96046e-10
-0.0194963,0.02
-0.0194931,5.96046e-10
-0.0194899,0.02
-0.0194867,0.02
-0.0194835,5.96046e-10
-0.0194803,5.96046e-10
-0.0194771,0.02
-0.0194739,0.02
-0.0194707,0.02
-0.0194675,5.96046e-10
-0.0194643,0.02
-0.0194611,5.96046e-10
-0.0194579,5.96046e-10
-0.0194547,5.96046e-10
-0.0194515,0.02
-0.0194483,0.02
-0.0194451,0.02
-0.0194419,5.96046e-10
-0.0194387,5.96046e-10
-0.0194355,0.02
-0.0194323,5.96046e-10
-0.0194291,5.96046e-10
-0.0194259,5.96046e-10
-0.0194227,5.96046e-10
-0.0194195,5.96046e-10
-0.0194163,5.96046e-10
-0.0194131,5.96046e-10
-0.0194099,5.96046e-10
-0.0194067,0.02
-0.0194035,5.96046e-10
-0.0194003,5.96046e-10
-0.0193971,5.96046e-10
-0.0193939,0.02
-0.0193907,5.96046e-10
-0.0193875,5.96046e-10
-0.0193843,0.02
-0.0193811,0.02
-0.0193779,0.02
-0.0193747,0.02
-0.0193715,5.96046e-10
-0.0193683,5.96046e-10
-0.0193651,0.02
-0.0193619,5.96046e-10
-0.0193587,0.02
-0.0193555,0.02
-0.0193523,0.02
-0.0193491,0.02
-0.0193459,0.02
-0.0193427,0.02
-0.0193395,0.02
-0.0193363,0.02
-0.0193331,0.02
-0.0193299,5.96046e-10
-0.0193267,0.02
-0.0193235,0.02
-0.0193203,0.02
-0.0193171,0.02
-0.0193139,5.96046e-10
-0.0193107,0.02
-0.0193075,5.96046e-10
-0.0193043,0.02
-0.0193011,5.96046e-10
-0.0192979,5.96046e-10
-0.0192947,0.02
-0.0192915,0.02
-0.0192883,0.02
-0.0192851,0.02
-0.0192819,0.02
-0.0192787,0.02
-0.0192755,0.02
-0.0192723,0.02
-0.0192691,5.96046e-10
-0.0192659,5.96046e-10
-0.0192627,5.96046e-10
-0.0192595,5.96046e-10
-0.0192563,0.02
-0.0192531,5.96046e-10
-0.0192499,0.02
-0.0192467,5.96046e-10
-0.0192435,5.96046e-10
-0.0192403,0.02
-0.0192371,5.96046e-10
-0.0192339,5.96046e-10
-0.0192307,0.02
-0.0192275,0.02
-0.0192243,5.96046e-10
-0.0192211,5.96046e-10
-0.0192179,5.96046e-10
-0.0192147,0.02
-0.0192115,0.02
-0.0192083,0.02
-0.0192051,0.02
-0.0192019,0.02
-0.0191987,0.02
-0.0191955,0.02
-0.0191923,5.96046e-10
-0.0191891,0.02
-0.0191859,5.96046e-10
-0.0191827,0.02
-0.0191795,0.02
-0.0191763,0.02
-0.0191731,0.02
-0.0191699,5.96046e-10
-0.0191667,0.02
-0.0191635,0.02
-0.0191603,0.02
-0.0191571,0.02
-0.0191539,5.96046e-10
-0.0191507,0.02
-0.0191475,0.02
-0.0191443,5.96046e-10
-0.0191411,5.96046e-10
-0.0191379,0.02
-0.0191347,5.96046e-10
-0.0191315,0.02
-0.0191283,0.02
-0.0191251,5.96046e-10
-0.0191219,0.02
-0.0191187,0.02
-0.0191155,0.02
-0.0191123,5.96046e-10
-0.0191091,0.02
-0.0191059,5.96046e-10
-0.0191027,5.96046e-10
-0.0190995,5.96046e-10
-0.0190963,0.02
-0.0190931,0.02
-0.0190899,5.96046e-10
-0.0190867,5.96046e-10
-0.0190835,0.02
-0.0190803,0.02
-0.0190771,5.96046e-10
-0.0190739,5.96046e-10
-0.0190707,0.02
-0.0190675,0.02
-0.0190643,0.02
-0.0190611,0.02
-0.0190579,5.96046e-10
-0.0190547,5.96046e-10
-0.0190515,0.02
-0.0190483,5.96046e-10
-0.0190451,0.02
-0.0190419,0.02
-0.0190387,0.02
-0.0190355,0.02
-0.0190323,0.02
-0.0190291,5.96046e-10
-0.0190259,5.96046e-10
-0.0190227,0.02
-0.0190195,0.02
-0.0190163,5.96046e-10
-0.0190131,0.02
-0.0190099,5.96046e-10
-0.0190067,0.02
-0.0190035,0.02
-0.0190003,0.02
-0.0189971,0.02
-0.0189939,5.96046e-10
-0.0189907,5.96046e-10
-0.0189875,5.96046e-10
-0.0189843,0.02
-0.0189811,5.96046e-10
-0.0189779,5.96046e-10
-0.0189747,5.96046e-10
-0.0189715,5.96046e-10
-0.0189683,5.96046e-10
-0.0189651,0.02
-0.0189619,5.96046e-10
-0.0189587,0.02
-0.0189555,0.02
-0.0189523,0.02
-0.0189491,0.02
-0.0189459,5.96046e-10
-0.0189427,5.96046e-10
-0.0189395,0.02
-0.0189363,0.02
-0.0189331,0.02
-0.0189299,0.02
-0.0189267,0.02
-0.0189235,5.96046e-10
-0.0189203,0.02
-0.0189171,0.02
-0.0189139,5.96046e-10
-0.0189107,0.04
-0.0189075,0.02
-0.0189043,5.96046e-10
-0.0189011,5.96046e-10
-0.0188979,5.96046e-10
-0.0188947,5.96046e-10
-0.0188915,0.02
-0.0188883,0.02
-0.0188851,0.02
-0.0188819,5.96046e-10
-0.0188787,5.96046e-10
-0.0188755,0.02
-0.0188723,0.02
-0.0188691,0.02
-0.0188659,5.96046e-10
-0.0188627,0.02
-0.0188595,0.02
-0.0188563,5.96046e-10
-0.0188531,0.02
-0.0188499,0.02
-0.0188467,0.02
-0.0188435,5.96046e-10
-0.0188403,0.02
-0.0188371,0.02
-0.0188339,5.96046e-10
-0.0188307,5.96046e-10
-0.0188275,0.02
-0.0188243,5.96046e-10
-0.0188211,5.96046e-10
-0.0188179,0.02
-0.0188147,0.02
-0.0188115,0.02
-0.0188083,5.96046e-10
-0.0188051,5.96046e-10
-0.0188019,0.02
-0.0187987,0.02
-0.0187955,0.02
-0.0187923,0.02
-0.0187891,0.02
-0.0187859,0.02
-0.0187827,0.02
-0.0187795,5.96046e-10
-0.0187763,5.96046e-10
-0.0187731,5.96046e-10
-0.0187699,0.02
-0.0187667,0.02
-0.0187635,5.96046e-10
-0.0187603,5.96046e-10
-0.0187571,0.02
-0.0187539,0.02
-0.0187507,5.96046e-10
-0.0187475,0.02
-0.0187443,0.02
-0.0187411,5.96046e-10
-0.0187379,0.02
-0.0187347,0.02
-0.0187315,5.96046e-10
-0.0187283,0.02
-0.0187251,0.02
-0.0187219,0.02
-0.0187187,0.02
-0.0187155,5.96046e-10
-0.0187123,0.02
-0.0187091,0.02
-0.0187059,0.02
-0.0187027,0.02
-0.0186995,5.96046e-10
-0.0186963,5.96046e-10
-0.0186931,0.02
-0.0186899,0.02
-0.0186867,5.96046e-10
-0.0186835,5.96046e-10
-0.0186803,0.02
-0.0186771,0.02
-0.0186739,0.02
-0.0186707,0.02
-0.0186675,5.96046e-10
-0.0186643,0.02
-0.0186611,5.96046e-10
-0.0186579,0.02
-0.0186547,5.96046e-10
-0.0186515,0.02
-0.0186483,0.02
-0.0186451,5.96046e-10
-0.0186419,0.02
-0.0186387,0.02
-0.0186355,0.02
-0.0186323,0.04
-0.0186291,5.96046e-10
-0.0186259,5.96046e-10
-0.0186227,5.96046e-10
-0.0186195,0.02
-0.0186163,0.02
-0.0186131,5.96046e-10
-0.0186099,0.02
-0.0186067,0.02
-0.0186035,5.96046e-10
-0.0186003,0.02
-0.0185971,5.96046e-10
-0.0185939,0.02
-0.0185907,0.02
-0.0185875,0.02
-0.0185843,0.02
-0.0185811,5.96046e-10
-0.0185779,0.02
-0.0185747,5.96046e-10
-0.0185715,0.02
-0.0185683,5.96046e-10
-0.0185651,5.96046e-10
-0.0185619,5.96046e-10
-0.0185587,0.02
-0.0185555,5.96046e-10
-0.0185523,5.96046e-10
-0.0185491,5.96046e-10
-0.0185459,5.96046e-10
-0.0185427,5.96046e-10
-0.0185395,5.96046e-10
-0.0185363,0.02
-0.0185331,5.96046e-10
-0.0185299,0.02
-0.0185267,5.96046e-10
-0.0185235,0.02
-0.0185203,0.02
-0.0185171,0.02
-0.0185139,5.96046e-10
-0.0185107,5.96046e-10
-0.0185075,0.02
-0.0185043,5.96046e-10
-0.0185011,0.02
-0.0184979,5.96046e-10
-0.0184947,0.02
-0.0184915,0.02
-0.0184883,0.02
-0.0184851,5.96046e-10
-0.0184819,5.96046e-10
-0.0184787,0.02
-0.0184755,0.02
-0.0184723,5.96046e-10
-0.0184691,-0.02
-0.0184659,5.96046e-10
-0.0184627,5.96046e-10
-0.0184595,5.96046e-10
-0.0184563,0.02
-0.0184531,5.96046e-10
-0.0184499,5.96046e-10
-0.0184467,0.02
-0.0184435,5.96046e-10
-0.0184403,5.96046e-10
-0.0184371,0.02
-0.0184339,5.96046e-10
-0.0184307,5.96046e-10
-0.0184275,0.02
-0.0184243,0.02
-0.0184211,0.02
-0.0184179,0.02
-0.0184147,0.02
-0.0184115,0.02
-0.0184083,5.96046e-10
-0.0184051,0.02
-0.0184019,0.02
-0.0183987,5.96046e-10
-0.0183955,0.02
-0.0183923,5.96046e-10
-0.0183891,0.02
-0.0183859,5.96046e-10
-0.0183827,5.96046e-10
-0.0183795,0.02
-0.0183763,5.96046e-10
-0.0183731,0.02
-0.0183699,5.96046e-10
-0.0183667,0.02
-0.0183635,5.96046e-10
-0.0183603,5.96046e-10
-0.0183571,5.96046e-10
-0.0183539,5.96046e-10
-0.0183507,5.96046e-10
-0.0183475,5.96046e-10
-0.0183443,5.96046e-10
-0.0183411,0.02
-0.0183379,0.02
-0.0183347,0.02
-0.0183315,-0.02
-0.0183283,5.96046e-10
-0.0183251,5.96046e-10
-0.0183219,5.96046e-10
-0.0183187,5.96046e-10
-0.0183155,5.96046e-10
-0.0183123,0.02
-0.0183091,0.02
-0.0183059,0.02
-0.0183027,0.02
-0.0182995,0.02
-0.0182963,5.96046e-10
-0.0182931,5.96046e-10
-0.0182899,0.02
-0.0182867,5.96046e-10
-0.0182835,0.02
-0.0182803,0.02
-0.0182771,0.02
-0.0182739,5.96046e-10
-0.0182707,5.96046e-10
-0.0182675,5.96046e-10
-0.0182643,0.02
-0.0182611,0.02
-0.0182579,5.96046e-10
-0.0182547,0.02
-0.0182515,0.02
-0.0182483,0.02
-0.0182451,0.02
-0.0182419,5.96046e-10
-0.0182387,5.96046e-10
